날짜,종가,시가,고가,저가,거래량
2021-12-01,429995.0,436574.0,441980.0,429096.0,33337600
2021-12-02,429227.0,430282.0,434437.0,427025.0,30766000
2021-12-03,420785.0,432483.0,433408.0,414298.0,41779300
2021-12-06,424928.0,422010.0,426569.0,415861.0,30032600
2021-12-07,436300.0,432027.0,437447.0,430021.0,31021900
2021-12-08,436365.0,436808.0,437056.0,430933.0,24761000
2021-12-09,433929.0,435636.0,438346.0,432653.0,22214200
2021-12-10,446227.0,436378.0,446826.0,436131.0,38095700
2021-12-13,442136.0,443804.0,447855.0,441719.0,28899400
2021-12-14,427729.0,434086.0,435936.0,422218.0,44438700
2021-12-15,435949.0,428080.0,436652.0,422726.0,35381100
2021-12-16,423247.0,437329.0,438697.0,420798.0,35034800
2021-12-17,421814.0,418010.0,423273.0,413282.0,47750300
2021-12-20,416747.0,416929.0,420512.0,413698.0,28326500
2021-12-21,426361.0,421150.0,426934.0,416603.0,24740600
2021-12-22,434060.0,427676.0,434594.0,424355.0,24831500
2021-12-23,436001.0,433473.0,438215.0,433447.0,19617800
2021-12-27,446110.0,437004.0,446149.0,436965.0,19947000
2021-12-28,444546.0,447021.0,447881.0,443335.0,15661500
2021-12-29,445458.0,444611.0,448520.0,442501.0,15042000
2021-12-30,442032.0,445406.0,446995.0,441381.0,15994500
2021-12-31,438124.0,440977.0,442084.0,437512.0,18000800
2022-01-03,436079.0,436860.0,440313.0,429604.0,28865100
2022-01-04,428601.0,436183.0,436665.0,424837.0,32674300
2022-01-05,412148.0,424498.0,424771.0,411627.0,40054300
2022-01-06,408891.0,407940.0,415171.0,405778.0,39646100
2022-01-07,409100.0,409243.0,412305.0,403954.0,32720000
2022-01-10,409400.0,403173.0,409986.0,396920.0,44289500
2022-01-11,410324.0,408240.0,412448.0,403694.0,29386800
2022-01-12,414610.0,416434.0,421306.0,413060.0,34372200
2022-01-13,397063.0,417476.0,418010.0,396021.0,45366000
2022-01-14,404098.0,396346.0,404905.0,395695.0,39846400
2022-01-18,394262.0,396112.0,403576.0,393077.0,42333200
2022-01-19,395148.0,399004.0,408931.0,394327.0,45933900
2022-01-20,392894.0,402625.0,405986.0,392295.0,35380700
2022-01-21,385638.0,394314.0,396164.0,385091.0,57984400
2022-01-24,386081.0,380649.0,387045.0,359610.0,85731500
2022-01-25,375816.0,379763.0,384283.0,371491.0,72848600
2022-01-26,386524.0,401219.0,401883.0,381730.0,90428900
2022-01-27,390602.0,394275.0,400320.0,388113.0,53481300
2022-01-28,401570.0,391110.0,401857.0,383580.0,49743700
2022-01-31,405114.0,402469.0,406937.0,399108.0,46444500
2022-02-01,402222.0,404371.0,404658.0,397493.0,40950400
2022-02-02,408344.0,403355.0,410507.0,402378.0,36636000
2022-02-03,392438.0,403173.0,405439.0,390758.0,43730000
2022-02-04,398548.0,391084.0,402274.0,390771.0,35096500
2022-02-07,392048.0,398848.0,401023.0,390680.0,28533300
2022-02-08,396750.0,392438.0,398053.0,390745.0,32421200
2022-02-09,405413.0,403668.0,406351.0,400437.0,31284700
2022-02-10,393910.0,396073.0,402691.0,391722.0,45386200
2022-02-11,384349.0,394966.0,396399.0,383280.0,39175600
2022-02-14,384296.0,382694.0,386589.0,379542.0,36359500
2022-02-15,391422.0,390823.0,391852.0,386928.0,27058300
2022-02-16,390159.0,388687.0,391943.0,382577.0,29982100
2022-02-17,378734.0,386068.0,386641.0,377783.0,32461600
2022-02-18,375086.0,381756.0,382811.0,372976.0,34264000
2022-02-22,374813.0,371270.0,379789.0,370618.0,41736100
2022-02-23,365108.0,378017.0,379998.0,364886.0,37811200
2022-02-24,383762.0,354999.0,384505.0,353709.0,56989700
2022-02-25,387306.0,384479.0,387723.0,379932.0,32546700
2022-02-28,389234.0,383398.0,389690.0,381691.0,34627500
2022-03-01,384231.0,386120.0,390771.0,380584.0,31217800
2022-03-02,391058.0,384765.0,392725.0,382603.0,31873000
2022-03-03,385495.0,394575.0,394887.0,383059.0,27314500
2022-03-04,377601.0,383372.0,385156.0,374096.0,32356500
2022-03-07,363336.0,375868.0,377379.0,362841.0,43157200
2022-03-08,359350.0,361890.0,369915.0,351729.0,48159500
2022-03-09,375829.0,369237.0,377262.0,365772.0,35204500
2022-03-10,372038.0,368690.0,373354.0,365512.0,30628000
2022-03-11,364847.0,375125.0,377145.0,364013.0,27209300
2022-03-14,360118.0,365199.0,371791.0,359311.0,30660700
2022-03-15,374070.0,365212.0,374943.0,363102.0,34245100
2022-03-16,383502.0,376624.0,383736.0,368925.0,37826300
2022-03-17,384583.0,382069.0,385091.0,376962.0,30816600
2022-03-18,391370.0,384778.0,392113.0,381339.0,43390600
2022-03-21,389716.0,389364.0,390992.0,384166.0,28351200
2022-03-22,396099.0,390549.0,397324.0,389208.0,27599700
2022-03-23,390146.0,391474.0,395018.0,387840.0,25715400
2022-03-24,396151.0,389690.0,396281.0,388621.0,24484500
2022-03-25,395604.0,397623.0,397975.0,389885.0,22566500
2022-03-28,404749.0,396451.0,404879.0,396451.0,29578200
2022-03-29,410885.0,408931.0,411419.0,402599.0,30393400
2022-03-30,408865.0,408735.0,411588.0,405895.0,28163600
2022-03-31,401635.0,408918.0,410533.0,401088.0,33422100
2022-04-01,403081.0,403016.0,404006.0,398027.0,27110500
2022-04-04,410311.0,403954.0,410494.0,403459.0,24289600
2022-04-05,404983.0,408097.0,410181.0,403668.0,23156700
2022-04-06,390159.0,397571.0,399929.0,386524.0,40110400
2022-04-07,392595.0,386459.0,395565.0,386055.0,31411200
2022-04-08,386863.0,391383.0,392269.0,385964.0,24361900
2022-04-11,371608.0,380115.0,381183.0,371270.0,34569300
2022-04-12,367440.0,376793.0,378747.0,365394.0,30966700
2022-04-13,374683.0,368312.0,375933.0,366449.0,21907200
2022-04-14,364535.0,375295.0,375581.0,363870.0,28221600
2022-04-18,365433.0,363336.0,367961.0,362594.0,20778000
2022-04-19,371660.0,363948.0,372794.0,362685.0,22297700
2022-04-20,373041.0,377001.0,377392.0,371751.0,22906700
2022-04-21,365811.0,375933.0,382082.0,364834.0,29454600
2022-04-22,356979.0,366945.0,368925.0,356132.0,29405800
2022-04-25,365694.0,356015.0,366202.0,352732.0,35678900
2022-04-26,352016.0,361499.0,362620.0,351729.0,46518400
2022-04-27,368951.0,367492.0,379047.0,363662.0,63477700
2022-04-28,377301.0,371517.0,379060.0,366658.0,33646600
2022-04-29,361525.0,375972.0,377627.0,360197.0,37073900
2022-05-02,370579.0,361773.0,371191.0,359832.0,35151100
2022-05-03,367075.0,369915.0,370136.0,364951.0,25978600
2022-05-04,377757.0,368130.0,378929.0,360496.0,33599300
2022-05-05,361304.0,371973.0,373028.0,357383.0,43260400
2022-05-06,357891.0,357995.0,363779.0,353383.0,37780300
2022-05-09,344668.0,351807.0,354803.0,343027.0,47726000
2022-05-10,351078.0,353931.0,356614.0,345307.0,39336400
2022-05-11,339418.0,346101.0,353501.0,337790.0,48975900
2022-05-12,332644.0,335693.0,338546.0,325701.0,51033800
2022-05-13,340161.0,335250.0,342662.0,332644.0,34925100
2022-05-16,340656.0,338650.0,346284.0,333205.0,32550900
2022-05-17,347586.0,346661.0,349553.0,341907.0,28828800
2022-05-18,330990.0,342610.0,343392.0,329283.0,31356000
2022-05-19,329765.0,330756.0,335667.0,328124.0,32692300
2022-05-20,329010.0,335107.0,336800.0,321037.0,39199300
2022-05-23,339549.0,332827.0,340656.0,330143.0,33175400
2022-05-24,338207.0,335953.0,340435.0,330234.0,29043900
2022-05-25,341985.0,336279.0,344668.0,334963.0,28547900
2022-05-26,346388.0,341659.0,347964.0,340565.0,25002100
2022-05-27,355950.0,349749.0,356080.0,348550.0,26910800
2022-05-31,354165.0,355025.0,357943.0,350335.0,37827700
2022-06-01,354882.0,358503.0,361747.0,351781.0,25292200
2022-06-02,357695.0,344499.0,357787.0,340786.0,44008200
2022-06-03,351755.0,352133.0,356223.0,349658.0,28059000
2022-06-06,350101.0,354413.0,357174.0,348107.0,22400300
2022-06-07,354986.0,347352.0,355806.0,346440.0,22860700
2022-06-08,352263.0,353957.0,355637.0,351221.0,17372300
2022-06-09,344942.0,348837.0,355259.0,344734.0,26439700
2022-06-10,329570.0,339458.0,339458.0,328971.0,31422800
2022-06-13,315592.0,319305.0,324398.0,314641.0,46135800
2022-06-14,318497.0,317676.0,320126.0,314615.0,28651500
2022-06-15,327968.0,323473.0,332579.0,321011.0,33111700
2022-06-16,319122.0,320438.0,322314.0,316582.0,33169200
2022-06-17,322614.0,318771.0,326326.0,317898.0,43084800
2022-06-21,330547.0,326014.0,331863.0,325037.0,29928300
2022-06-22,329752.0,328137.0,335015.0,326157.0,25939900
2022-06-23,337217.0,332931.0,337881.0,330404.0,25861400
2022-06-24,348733.0,341060.0,349098.0,340943.0,33923200
2022-06-27,345072.0,349397.0,349514.0,342975.0,24615100
2022-06-28,334117.0,343887.0,347704.0,333908.0,27295500
2022-06-29,339041.0,335562.0,341268.0,333179.0,20069800
2022-06-30,334572.0,334859.0,338090.0,329453.0,31730900
2022-07-01,338155.0,333999.0,338402.0,331680.0,22837700
2022-07-05,342415.0,333700.0,342584.0,331850.0,22941000
2022-07-06,346792.0,343587.0,349111.0,341828.0,23824400
2022-07-07,349645.0,345372.0,350504.0,345242.0,20859900
2022-07-08,348681.0,344942.0,349254.0,342988.0,19658800
2022-07-11,344577.0,346062.0,347209.0,341542.0,19455200
2022-07-12,330456.0,346362.0,346440.0,328332.0,35868500
2022-07-13,329218.0,325923.0,330300.0,323213.0,29497400
2022-07-14,330990.0,326418.0,332371.0,320386.0,25102800
2022-07-15,334429.0,333126.0,339184.0,331889.0,29774100
2022-07-18,331211.0,338376.0,339796.0,329974.0,20975000
2022-07-19,338090.0,335549.0,338337.0,330469.0,25012600
2022-07-20,341659.0,338572.0,345046.0,337282.0,22788300
2022-07-21,345007.0,338428.0,345072.0,334833.0,22404700
2022-07-22,339171.0,345528.0,345645.0,337490.0,21881300
2022-07-25,337178.0,340005.0,340656.0,334546.0,21056000
2022-07-26,328150.0,338520.0,338546.0,325115.0,39348000
2022-07-27,350088.0,340213.0,351794.0,337204.0,45994000
2022-07-28,360079.0,351403.0,361942.0,348954.0,33459300
2022-07-29,365720.0,361760.0,367361.0,360366.0,32152800
2022-08-01,362164.0,361916.0,366423.0,359337.0,21539600
2022-08-02,358008.0,359545.0,362007.0,354829.0,22754200
2022-08-03,367974.0,360535.0,369315.0,360340.0,23518900
2022-08-04,369511.0,367101.0,369706.0,364977.0,18098700
2022-08-05,368547.0,363649.0,369511.0,363036.0,16774600
2022-08-08,365173.0,370032.0,372468.0,363870.0,18739200
2022-08-09,367752.0,364287.0,368768.0,361643.0,23405200
2022-08-10,376689.0,375399.0,377535.0,373797.0,24687800
2022-08-11,373901.0,378890.0,379359.0,373237.0,20065900
2022-08-12,380271.0,375803.0,380271.0,373797.0,22619700
2022-08-15,382303.0,379086.0,383228.0,377926.0,18085700
2022-08-16,381313.0,380375.0,383046.0,378330.0,18102900
2022-08-17,379503.0,377444.0,382147.0,377093.0,18253400
2022-08-18,378004.0,378031.0,380271.0,376584.0,17186200
2022-08-19,372768.0,376350.0,376806.0,371999.0,20570000
2022-08-22,361825.0,367466.0,367961.0,361134.0,25061100
2022-08-23,360118.0,360118.0,363271.0,358764.0,17527400
2022-08-24,359272.0,358777.0,361148.0,358386.0,18137000
2022-08-25,363258.0,361278.0,363479.0,357617.0,16583400
2022-08-26,349241.0,363557.0,365199.0,349098.0,27549300
2022-08-29,345515.0,346323.0,348342.0,343717.0,20338500
2022-08-30,342571.0,347391.0,347886.0,339562.0,22767100
2022-08-31,340617.0,345724.0,347964.0,340435.0,24791800
2022-09-01,339223.0,337230.0,339861.0,332723.0,23263400
2022-09-02,333569.0,340917.0,344877.0,331498.0,22855400
2022-09-06,329909.0,333752.0,335875.0,328202.0,21328200
2022-09-07,336214.0,331798.0,337178.0,329870.0,24126700
2022-09-08,336774.0,335458.0,339262.0,331915.0,20319900
2022-09-09,344512.0,339353.0,345515.0,339080.0,22084700
2022-09-12,347365.0,346232.0,348407.0,345424.0,18747700
2022-09-13,328267.0,337191.0,339223.0,327746.0,33353300
2022-09-14,328567.0,330274.0,331185.0,325493.0,23913000
2022-09-15,319657.0,325375.0,327499.0,317885.0,31530900
2022-09-16,318823.0,318197.0,319552.0,315332.0,39791800
2022-09-19,318536.0,315866.0,319344.0,313755.0,26826900
2022-09-20,315840.0,315345.0,317220.0,312179.0,26660300
2022-09-21,311280.0,318211.0,322627.0,311215.0,28625600
2022-09-22,313925.0,309873.0,317676.0,309482.0,31061200
2022-09-23,309938.0,312049.0,314120.0,306395.0,34176000
2022-09-26,309326.0,308805.0,314537.0,308610.0,27694200
2022-09-27,307971.0,312622.0,314993.0,305483.0,27018700
2022-09-28,314042.0,308492.0,315683.0,305783.0,29029700
2022-09-29,309391.0,311202.0,312583.0,305366.0,27484200
2022-09-30,303399.0,310420.0,313351.0,303177.0,35694800
2022-10-03,313612.0,306669.0,314745.0,305692.0,28880400
2022-10-04,324216.0,319279.0,326144.0,319135.0,34888400
2022-10-05,324633.0,320451.0,326431.0,317989.0,20347100
2022-10-06,321493.0,322978.0,326118.0,320568.0,20239900
2022-10-07,305144.0,313820.0,314368.0,303751.0,37769600
2022-10-10,298644.0,303594.0,305561.0,295361.0,29743600
2022-10-11,293642.0,296521.0,298396.0,291948.0,30474000
2022-10-12,294085.0,293629.0,296833.0,291753.0,21903900
2022-10-13,305144.0,286399.0,307567.0,285461.0,42551800
2022-10-14,297745.0,306838.0,309053.0,297459.0,30198600
2022-10-17,309430.0,307203.0,311293.0,306317.0,28142300
2022-10-18,310694.0,316869.0,317768.0,306616.0,26329600
2022-10-19,308062.0,308792.0,312140.0,305210.0,19985700
2022-10-20,307633.0,307138.0,314355.0,305965.0,21811000
2022-10-21,315410.0,305796.0,316556.0,305483.0,26299700
2022-10-24,322093.0,317546.0,322861.0,314342.0,24911200
2022-10-25,326535.0,322106.0,327030.0,320243.0,34775500
2022-10-26,301341.0,301145.0,310433.0,299699.0,82543200
2022-10-27,295387.0,300976.0,304428.0,294124.0,40424600
2022-10-28,307268.0,294723.0,308219.0,294475.0,40647700
2022-10-31,302396.0,304519.0,306030.0,301119.0,28357300
2022-11-01,297237.0,305613.0,307099.0,296143.0,30592300
2022-11-02,286724.0,298918.0,301315.0,286646.0,38407000
2022-11-03,279103.0,286711.0,287128.0,278752.0,36633900
2022-11-04,288405.0,283402.0,288665.0,278035.0,36789100
2022-11-07,296846.0,289186.0,297550.0,288261.0,33498000
2022-11-08,298149.0,297927.0,301770.0,294202.0,28192500
2022-11-09,292469.0,296195.0,297836.0,292235.0,27852900
2022-11-10,316530.0,306695.0,316986.0,306134.0,46268000
2022-11-11,321910.0,316543.0,323057.0,315162.0,34620200
2022-11-14,314667.0,315240.0,317742.0,311619.0,31123300
2022-11-15,315214.0,320021.0,321767.0,312687.0,31390100
2022-11-16,314902.0,316283.0,317598.0,313195.0,24093300
2022-11-17,314837.0,309756.0,316882.0,309561.0,23123500
2022-11-18,314237.0,317220.0,317520.0,311384.0,27613500
2022-11-21,315319.0,314511.0,318732.0,314198.0,26394700
2022-11-22,319201.0,317325.0,319565.0,313573.0,19665700
2022-11-23,322522.0,319305.0,323434.0,318211.0,19508500
2022-11-25,322405.0,322171.0,323981.0,321415.0,9200800
2022-11-28,314941.0,320568.0,321311.0,313690.0,24778200
2022-11-29,313078.0,314472.0,316283.0,310316.0,17956300
2022-11-30,332371.0,313391.0,332618.0,312466.0,47594200
2022-12-01,331785.0,330716.0,333648.0,326873.0,26041500
2022-12-02,332215.0,325441.0,333569.0,325271.0,21528500
2022-12-05,325936.0,328293.0,330651.0,323148.0,23435300
2022-12-06,319318.0,326743.0,328098.0,317572.0,22463700
2022-12-07,318341.0,318940.0,320673.0,315527.0,20481500
2022-12-08,322288.0,318953.0,324034.0,316634.0,22611800
2022-12-09,319709.0,318771.0,323473.0,318067.0,20609700
2022-12-12,328945.0,322353.0,328984.0,321988.0,30665100
2022-12-13,334690.0,340904.0,343809.0,329674.0,42196900
2022-12-14,335080.0,334963.0,342076.0,331290.0,35410900
2022-12-15,324385.0,330521.0,331146.0,322210.0,35560400
2022-12-16,318758.0,323786.0,325467.0,317220.0,86102000
2022-12-19,313234.0,318979.0,319435.0,310968.0,29696400
2022-12-20,314993.0,311866.0,316439.0,310590.0,25150800
2022-12-21,318419.0,314850.0,319969.0,312791.0,23690600
2022-12-22,310290.0,314289.0,315240.0,304662.0,28651700
2022-12-23,310994.0,307580.0,311176.0,304754.0,21207000
2022-12-27,308688.0,310954.0,311254.0,307216.0,16688600
2022-12-28,305522.0,308597.0,312283.0,305053.0,17457100
2022-12-29,313964.0,306981.0,315149.0,306981.0,19770700
2022-12-30,312414.0,310316.0,312596.0,308297.0,21930800
2023-01-03,312101.0,316660.0,320139.0,309261.0,25740000
2023-01-04,298449.0,302591.0,303360.0,294358.0,50623400
2023-01-05,289603.0,295973.0,296429.0,288887.0,39585600
2023-01-06,293016.0,290502.0,294098.0,285747.0,43597700
2023-01-09,295869.0,294996.0,301236.0,294944.0,27369800
2023-01-10,298123.0,296703.0,301328.0,296143.0,27033900
2023-01-11,307138.0,301301.0,307372.0,301067.0,28669300
2023-01-12,310707.0,306473.0,312518.0,304259.0,27269500
2023-01-13,311645.0,308740.0,311827.0,306030.0,21317700
2023-01-17,313104.0,310004.0,313833.0,308857.0,29831300
2023-01-18,307190.0,314693.0,315748.0,306812.0,30028700
2023-01-19,302135.0,304545.0,306812.0,300507.0,28623000
2023-01-20,312935.0,305952.0,313612.0,305496.0,35323400
2023-01-23,316009.0,314081.0,319383.0,312192.0,31934000
2023-01-24,315305.0,315905.0,317794.0,313221.0,40234400
2023-01-25,313443.0,305457.0,316947.0,300793.0,66526600
2023-01-26,323070.0,317403.0,323473.0,315253.0,33454500
2023-01-27,323278.0,324359.0,325454.0,321545.0,26480800
2023-01-30,316178.0,318523.0,319943.0,315514.0,25867400
2023-01-31,322822.0,317142.0,323004.0,316491.0,26541100
2023-02-01,329257.0,323070.0,332423.0,319774.0,31259900
2023-02-02,344694.0,337165.0,344812.0,335120.0,39940400
2023-02-03,336553.0,338103.0,344173.0,334924.0,29062300
2023-02-06,334494.0,335367.0,336487.0,331902.0,22518000
2023-02-07,348550.0,339392.0,350127.0,338806.0,50841400
2023-02-08,347469.0,355898.0,360535.0,346792.0,54686000
2023-02-09,343418.0,356679.0,356914.0,342350.0,42375100
2023-02-10,342740.0,340695.0,344030.0,339562.0,25760900
2023-02-13,353449.0,348655.0,357721.0,348016.0,44630900
2023-02-14,354556.0,355207.0,358203.0,350791.0,37047900
2023-02-15,350843.0,349540.0,352680.0,346753.0,28962200
2023-02-16,341503.0,343939.0,347482.0,341177.0,29603600
2023-02-17,336175.0,337907.0,338819.0,333491.0,29979600
2023-02-21,329153.0,331511.0,332827.0,327746.0,28397400
2023-02-22,327642.0,331003.0,331329.0,326118.0,22491100
